geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
2093020,en,OC,Oceania,PG,"Papua New Guinea",MRL,"Manus Province",,,Kupano,,Pacific/Port_Moresby,0
2093059,en,OC,Oceania,PG,"Papua New Guinea",CPK,"Chimbu Province",,,Kundiawa,,Pacific/Port_Moresby,0
2093404,en,OC,Oceania,PG,"Papua New Guinea",HLA,Hela,,,Koroba,,Pacific/Port_Moresby,0
2093685,en,OC,Oceania,PG,"Papua New Guinea",EBR,"East New Britain Province",,,Kokopo,,Pacific/Port_Moresby,0
2093967,en,OC,Oceania,PG,"Papua New Guinea",WBK,"West New Britain Province",,,Kimbe,,Pacific/Port_Moresby,0
2094004,en,OC,Oceania,PG,"Papua New Guinea",GPK,"Gulf Province",,,Kikori,,Pacific/Port_Moresby,0
2094027,en,OC,Oceania,PG,"Papua New Guinea",NSB,Bougainville,,,Kieta,,Pacific/Bougainville,0
2094144,en,OC,Oceania,PG,"Papua New Guinea",GPK,"Gulf Province",,,Kerema,,Pacific/Port_Moresby,0
2094342,en,OC,Oceania,PG,"Papua New Guinea",NIK,"New Ireland",,,Kavieng,,Pacific/Port_Moresby,0
2096742,en,OC,Oceania,PG,"Papua New Guinea",EHG,"Eastern Highlands Province",,,Goroka,,Pacific/Port_Moresby,0
2097812,en,OC,Oceania,PG,"Papua New Guinea",CPM,"Central Province",,,Efogi,,Pacific/Port_Moresby,0
2098329,en,OC,Oceania,PG,"Papua New Guinea",WPD,"Western Province",,,Daru,,Pacific/Port_Moresby,0
2100633,en,OC,Oceania,PG,"Papua New Guinea",NSB,Bougainville,,,Arawa,,Pacific/Bougainville,0
2100933,en,OC,Oceania,PG,"Papua New Guinea",ESW,"East Sepik Province",,,Ambunti,,Pacific/Port_Moresby,0
2101169,en,OC,Oceania,PG,"Papua New Guinea",SAN,"West Sepik Province",,,Aitape,,Pacific/Port_Moresby,0
2102384,en,OC,Oceania,SB,"Solomon Islands",CE,"Central Province",,,Tulagi,,Pacific/Guadalcanal,0
2103350,en,OC,Oceania,SB,"Solomon Islands",,,,,,,Pacific/Guadalcanal,0
2106878,en,OC,Oceania,SB,"Solomon Islands",CT,Honiara,,,Lenggakiki,,Pacific/Guadalcanal,0
2108502,en,OC,Oceania,SB,"Solomon Islands",GU,"Guadalcanal Province",,,Honiara,,Pacific/Guadalcanal,0
2108857,en,OC,Oceania,SB,"Solomon Islands",WE,"Western Province",,,Gizo,,Pacific/Guadalcanal,0
2109528,en,OC,Oceania,SB,"Solomon Islands",IS,"Isabel Province",,,Buala,,Pacific/Guadalcanal,0
2109701,en,OC,Oceania,SB,"Solomon Islands",ML,"Malaita Province",,,Auki,,Pacific/Guadalcanal,0
2110141,en,OC,Oceania,KI,Kiribati,G,"Gilbert Islands",,,"Umwa Village",,Pacific/Tarawa,0
